symbol,eob,close
SZSE.159959,2022-04-15 00:00:00+08:00,1.259
SZSE.159959,2022-04-14 00:00:00+08:00,1.267
SZSE.159959,2022-04-13 00:00:00+08:00,1.246
SZSE.159959,2022-04-12 00:00:00+08:00,1.254
SZSE.159959,2022-04-11 00:00:00+08:00,1.245
SZSE.159959,2022-04-08 00:00:00+08:00,1.282
SZSE.159959,2022-04-07 00:00:00+08:00,1.273
SZSE.159959,2022-04-06 00:00:00+08:00,1.287
SZSE.159959,2022-04-01 00:00:00+08:00,1.284
SZSE.159959,2022-03-31 00:00:00+08:00,1.275
SZSE.159959,2022-03-30 00:00:00+08:00,1.282
SZSE.159959,2022-03-29 00:00:00+08:00,1.255
SZSE.159959,2022-03-28 00:00:00+08:00,1.258
SZSE.159959,2022-03-25 00:00:00+08:00,1.26
SZSE.159959,2022-03-24 00:00:00+08:00,1.28
SZSE.159959,2022-03-23 00:00:00+08:00,1.294
SZSE.159959,2022-03-22 00:00:00+08:00,1.279
SZSE.159959,2022-03-21 00:00:00+08:00,1.269
SZSE.159959,2022-03-18 00:00:00+08:00,1.278
SZSE.159959,2022-03-17 00:00:00+08:00,1.258
SZSE.159959,2022-03-16 00:00:00+08:00,1.239
SZSE.159959,2022-03-15 00:00:00+08:00,1.208
SZSE.159959,2022-03-14 00:00:00+08:00,1.284
SZSE.159959,2022-03-11 00:00:00+08:00,1.309
SZSE.159959,2022-03-10 00:00:00+08:00,1.309
SZSE.159959,2022-03-09 00:00:00+08:00,1.297
SZSE.159959,2022-03-08 00:00:00+08:00,1.315
SZSE.159959,2022-03-07 00:00:00+08:00,1.344
SZSE.159959,2022-03-04 00:00:00+08:00,1.367
SZSE.159959,2022-03-03 00:00:00+08:00,1.383
SZSE.159959,2022-03-02 00:00:00+08:00,1.377
SZSE.159959,2022-03-01 00:00:00+08:00,1.377
SZSE.159959,2022-02-28 00:00:00+08:00,1.362
SZSE.159959,2022-02-25 00:00:00+08:00,1.358
SZSE.159959,2022-02-24 00:00:00+08:00,1.352
SZSE.159959,2022-02-23 00:00:00+08:00,1.378
SZSE.159959,2022-02-22 00:00:00+08:00,1.365
SZSE.159959,2022-02-21 00:00:00+08:00,1.379
SZSE.159959,2022-02-18 00:00:00+08:00,1.377
SZSE.159959,2022-02-17 00:00:00+08:00,1.367
SZSE.159959,2022-02-16 00:00:00+08:00,1.361
SZSE.159959,2022-02-15 00:00:00+08:00,1.358
SZSE.159959,2022-02-14 00:00:00+08:00,1.352
SZSE.159959,2022-02-11 00:00:00+08:00,1.375
SZSE.159959,2022-02-10 00:00:00+08:00,1.385
SZSE.159959,2022-02-09 00:00:00+08:00,1.379
SZSE.159959,2022-02-08 00:00:00+08:00,1.367
SZSE.159959,2022-02-07 00:00:00+08:00,1.354
SZSE.159959,2022-01-28 00:00:00+08:00,1.324
SZSE.159959,2022-01-27 00:00:00+08:00,1.342
SZSE.159959,2022-01-26 00:00:00+08:00,1.367
SZSE.159959,2022-01-25 00:00:00+08:00,1.357
SZSE.159959,2022-01-24 00:00:00+08:00,1.392
SZSE.159959,2022-01-21 00:00:00+08:00,1.387
SZSE.159959,2022-01-20 00:00:00+08:00,1.41
SZSE.159959,2022-01-19 00:00:00+08:00,1.414
SZSE.159959,2022-01-18 00:00:00+08:00,1.419
SZSE.159959,2022-01-17 00:00:00+08:00,1.39
SZSE.159959,2022-01-14 00:00:00+08:00,1.376
SZSE.159959,2022-01-13 00:00:00+08:00,1.398
SZSE.159959,2022-01-12 00:00:00+08:00,1.417
SZSE.159959,2022-01-11 00:00:00+08:00,1.412
SZSE.159959,2022-01-10 00:00:00+08:00,1.421
SZSE.159959,2022-01-07 00:00:00+08:00,1.42
SZSE.159959,2022-01-06 00:00:00+08:00,1.418
SZSE.159959,2022-01-05 00:00:00+08:00,1.42
SZSE.159959,2022-01-04 00:00:00+08:00,1.448
SZSE.159959,2021-12-31 00:00:00+08:00,1.455
SZSE.159959,2021-12-30 00:00:00+08:00,1.441
SZSE.159959,2021-12-29 00:00:00+08:00,1.431
SZSE.159959,2021-12-28 00:00:00+08:00,1.443
SZSE.159959,2021-12-27 00:00:00+08:00,1.438
SZSE.159959,2021-12-24 00:00:00+08:00,1.445
SZSE.159959,2021-12-23 00:00:00+08:00,1.455
SZSE.159959,2021-12-22 00:00:00+08:00,1.437
SZSE.159959,2021-12-21 00:00:00+08:00,1.442
SZSE.159959,2021-12-20 00:00:00+08:00,1.433
SZSE.159959,2021-12-17 00:00:00+08:00,1.448
SZSE.159959,2021-12-16 00:00:00+08:00,1.458
SZSE.159959,2021-12-15 00:00:00+08:00,1.448
SZSE.159959,2021-12-14 00:00:00+08:00,1.446
SZSE.159959,2021-12-13 00:00:00+08:00,1.445
SZSE.159959,2021-12-10 00:00:00+08:00,1.43
SZSE.159959,2021-12-09 00:00:00+08:00,1.446
SZSE.159959,2021-12-08 00:00:00+08:00,1.442
SZSE.159959,2021-12-07 00:00:00+08:00,1.427
SZSE.159959,2021-12-06 00:00:00+08:00,1.434
SZSE.159959,2021-12-03 00:00:00+08:00,1.431
SZSE.159959,2021-12-02 00:00:00+08:00,1.413
SZSE.159959,2021-12-01 00:00:00+08:00,1.406
SZSE.159959,2021-11-30 00:00:00+08:00,1.4
SZSE.159959,2021-11-29 00:00:00+08:00,1.391
SZSE.159959,2021-11-26 00:00:00+08:00,1.394
SZSE.159959,2021-11-25 00:00:00+08:00,1.404
SZSE.159959,2021-11-24 00:00:00+08:00,1.398
SZSE.159959,2021-11-23 00:00:00+08:00,1.403
SZSE.159959,2021-11-22 00:00:00+08:00,1.402
SZSE.159959,2021-11-19 00:00:00+08:00,1.399
SZSE.159959,2021-11-18 00:00:00+08:00,1.381
SZSE.159959,2021-11-17 00:00:00+08:00,1.377
SZSE.159959,2021-11-16 00:00:00+08:00,1.367
SZSE.159959,2021-11-15 00:00:00+08:00,1.385
SZSE.159959,2021-11-12 00:00:00+08:00,1.391
SZSE.159959,2021-11-11 00:00:00+08:00,1.382
SZSE.159959,2021-11-10 00:00:00+08:00,1.361
SZSE.159959,2021-11-09 00:00:00+08:00,1.369
SZSE.159959,2021-11-08 00:00:00+08:00,1.357
SZSE.159959,2021-11-05 00:00:00+08:00,1.359
SZSE.159959,2021-11-04 00:00:00+08:00,1.38
SZSE.159959,2021-11-03 00:00:00+08:00,1.368
SZSE.159959,2021-11-02 00:00:00+08:00,1.36
SZSE.159959,2021-11-01 00:00:00+08:00,1.379
SZSE.159959,2021-10-29 00:00:00+08:00,1.387
SZSE.159959,2021-10-28 00:00:00+08:00,1.377
SZSE.159959,2021-10-27 00:00:00+08:00,1.391
SZSE.159959,2021-10-26 00:00:00+08:00,1.399
SZSE.159959,2021-10-25 00:00:00+08:00,1.399
SZSE.159959,2021-10-22 00:00:00+08:00,1.385
SZSE.159959,2021-10-21 00:00:00+08:00,1.392
SZSE.159959,2021-10-20 00:00:00+08:00,1.391
SZSE.159959,2021-10-19 00:00:00+08:00,1.392
SZSE.159959,2021-10-18 00:00:00+08:00,1.388
SZSE.159959,2021-10-15 00:00:00+08:00,1.371
SZSE.159959,2021-10-14 00:00:00+08:00,1.371
SZSE.159959,2021-10-13 00:00:00+08:00,1.368
SZSE.159959,2021-10-12 00:00:00+08:00,1.369
SZSE.159959,2021-10-11 00:00:00+08:00,1.4
SZSE.159959,2021-10-08 00:00:00+08:00,1.407
SZSE.159959,2021-09-30 00:00:00+08:00,1.414
SZSE.159959,2021-09-29 00:00:00+08:00,1.403
SZSE.159959,2021-09-28 00:00:00+08:00,1.431
SZSE.159959,2021-09-27 00:00:00+08:00,1.413
SZSE.159959,2021-09-24 00:00:00+08:00,1.447
SZSE.159959,2021-09-23 00:00:00+08:00,1.466
SZSE.159959,2021-09-22 00:00:00+08:00,1.462
SZSE.159959,2021-09-17 00:00:00+08:00,1.433
SZSE.159959,2021-09-16 00:00:00+08:00,1.421
SZSE.159959,2021-09-15 00:00:00+08:00,1.445
SZSE.159959,2021-09-14 00:00:00+08:00,1.445
SZSE.159959,2021-09-13 00:00:00+08:00,1.473
SZSE.159959,2021-09-10 00:00:00+08:00,1.467
SZSE.159959,2021-09-09 00:00:00+08:00,1.463
SZSE.159959,2021-09-08 00:00:00+08:00,1.451
SZSE.159959,2021-09-07 00:00:00+08:00,1.443
SZSE.159959,2021-09-06 00:00:00+08:00,1.416
SZSE.159959,2021-09-03 00:00:00+08:00,1.4
SZSE.159959,2021-09-02 00:00:00+08:00,1.409
SZSE.159959,2021-09-01 00:00:00+08:00,1.386
SZSE.159959,2021-08-31 00:00:00+08:00,1.381
SZSE.159959,2021-08-30 00:00:00+08:00,1.363
SZSE.159959,2021-08-27 00:00:00+08:00,1.356
SZSE.159959,2021-08-26 00:00:00+08:00,1.356
SZSE.159959,2021-08-25 00:00:00+08:00,1.365
SZSE.159959,2021-08-24 00:00:00+08:00,1.356
SZSE.159959,2021-08-23 00:00:00+08:00,1.357
SZSE.159959,2021-08-20 00:00:00+08:00,1.323
SZSE.159959,2021-08-19 00:00:00+08:00,1.335
SZSE.159959,2021-08-18 00:00:00+08:00,1.324
SZSE.159959,2021-08-17 00:00:00+08:00,1.314
SZSE.159959,2021-08-16 00:00:00+08:00,1.327
SZSE.159959,2021-08-13 00:00:00+08:00,1.333
SZSE.159959,2021-08-12 00:00:00+08:00,1.344
SZSE.159959,2021-08-11 00:00:00+08:00,1.355
SZSE.159959,2021-08-10 00:00:00+08:00,1.339
SZSE.159959,2021-08-09 00:00:00+08:00,1.33
SZSE.159959,2021-08-06 00:00:00+08:00,1.318
SZSE.159959,2021-08-05 00:00:00+08:00,1.314
SZSE.159959,2021-08-04 00:00:00+08:00,1.316
SZSE.159959,2021-08-03 00:00:00+08:00,1.301
SZSE.159959,2021-08-02 00:00:00+08:00,1.308
SZSE.159959,2021-07-30 00:00:00+08:00,1.279
SZSE.159959,2021-07-29 00:00:00+08:00,1.273
SZSE.159959,2021-07-28 00:00:00+08:00,1.248
SZSE.159959,2021-07-27 00:00:00+08:00,1.264
SZSE.159959,2021-07-26 00:00:00+08:00,1.29
SZSE.159959,2021-07-23 00:00:00+08:00,1.306
SZSE.159959,2021-07-22 00:00:00+08:00,1.307
SZSE.159959,2021-07-21 00:00:00+08:00,1.298
SZSE.159959,2021-07-20 00:00:00+08:00,1.291
SZSE.159959,2021-07-19 00:00:00+08:00,1.294
SZSE.159959,2021-07-16 00:00:00+08:00,1.293
SZSE.159959,2021-07-15 00:00:00+08:00,1.286
SZSE.159959,2021-07-14 00:00:00+08:00,1.285
SZSE.159959,2021-07-13 00:00:00+08:00,1.301
SZSE.159959,2021-07-12 00:00:00+08:00,1.286
SZSE.159959,2021-07-09 00:00:00+08:00,1.268
SZSE.159959,2021-07-08 00:00:00+08:00,1.27
SZSE.159959,2021-07-07 00:00:00+08:00,1.272
SZSE.159959,2021-07-06 00:00:00+08:00,1.26
SZSE.159959,2021-07-05 00:00:00+08:00,1.256
SZSE.159959,2021-07-02 00:00:00+08:00,1.252
SZSE.159959,2021-07-01 00:00:00+08:00,1.278
SZSE.159959,2021-06-30 00:00:00+08:00,1.281
SZSE.159959,2021-06-29 00:00:00+08:00,1.275
SZSE.159959,2021-06-28 00:00:00+08:00,1.287
SZSE.159959,2021-06-25 00:00:00+08:00,1.286
SZSE.159959,2021-06-24 00:00:00+08:00,1.277
SZSE.159959,2021-06-23 00:00:00+08:00,1.277
SZSE.159959,2021-06-22 00:00:00+08:00,1.269
SZSE.159959,2021-06-21 00:00:00+08:00,1.264
SZSE.159959,2021-06-18 00:00:00+08:00,1.261
SZSE.159959,2021-06-17 00:00:00+08:00,1.252
SZSE.159959,2021-06-16 00:00:00+08:00,1.248
SZSE.159959,2021-06-15 00:00:00+08:00,1.261
SZSE.159959,2021-06-11 00:00:00+08:00,1.273
SZSE.159959,2021-06-10 00:00:00+08:00,1.286
SZSE.159959,2021-06-09 00:00:00+08:00,1.275
SZSE.159959,2021-06-08 00:00:00+08:00,1.268
SZSE.159959,2021-06-07 00:00:00+08:00,1.263
SZSE.159959,2021-06-04 00:00:00+08:00,1.26
SZSE.159959,2021-06-03 00:00:00+08:00,1.258
SZSE.159959,2021-06-02 00:00:00+08:00,1.262
SZSE.159959,2021-06-01 00:00:00+08:00,1.275
SZSE.159959,2021-05-31 00:00:00+08:00,1.278
SZSE.159959,2021-05-28 00:00:00+08:00,1.269
SZSE.159959,2021-05-27 00:00:00+08:00,1.267
SZSE.159959,2021-05-26 00:00:00+08:00,1.261
SZSE.159959,2021-05-25 00:00:00+08:00,1.262
SZSE.159959,2021-05-24 00:00:00+08:00,1.23
SZSE.159959,2021-05-21 00:00:00+08:00,1.227
SZSE.159959,2021-05-20 00:00:00+08:00,1.233
SZSE.159959,2021-05-19 00:00:00+08:00,1.24
SZSE.159959,2021-05-18 00:00:00+08:00,1.243
SZSE.159959,2021-05-17 00:00:00+08:00,1.231
SZSE.159959,2021-05-14 00:00:00+08:00,1.218
SZSE.159959,2021-05-13 00:00:00+08:00,1.196
SZSE.159959,2021-05-12 00:00:00+08:00,1.206
SZSE.159959,2021-05-11 00:00:00+08:00,1.207
SZSE.159959,2021-05-10 00:00:00+08:00,1.207
SZSE.159959,2021-05-07 00:00:00+08:00,1.204
SZSE.159959,2021-05-06 00:00:00+08:00,1.213
SZSE.159959,2021-04-30 00:00:00+08:00,1.21
SZSE.159959,2021-04-29 00:00:00+08:00,1.23
SZSE.159959,2021-04-28 00:00:00+08:00,1.22
