symbol,eob,close
SHSE.512690,2022-04-15 00:00:00+08:00,0.784
SHSE.512690,2022-04-14 00:00:00+08:00,0.789
SHSE.512690,2022-04-13 00:00:00+08:00,0.753
SHSE.512690,2022-04-12 00:00:00+08:00,0.756
SHSE.512690,2022-04-11 00:00:00+08:00,0.709
SHSE.512690,2022-04-08 00:00:00+08:00,0.743
SHSE.512690,2022-04-07 00:00:00+08:00,0.747
SHSE.512690,2022-04-06 00:00:00+08:00,0.748
SHSE.512690,2022-04-01 00:00:00+08:00,0.754
SHSE.512690,2022-03-31 00:00:00+08:00,0.737
SHSE.512690,2022-03-30 00:00:00+08:00,0.742
SHSE.512690,2022-03-29 00:00:00+08:00,0.71
SHSE.512690,2022-03-28 00:00:00+08:00,0.721
SHSE.512690,2022-03-25 00:00:00+08:00,0.744
SHSE.512690,2022-03-24 00:00:00+08:00,0.765
SHSE.512690,2022-03-23 00:00:00+08:00,0.785
SHSE.512690,2022-03-22 00:00:00+08:00,0.772
SHSE.512690,2022-03-21 00:00:00+08:00,0.782
SHSE.512690,2022-03-18 00:00:00+08:00,0.784
SHSE.512690,2022-03-17 00:00:00+08:00,0.784
SHSE.512690,2022-03-16 00:00:00+08:00,0.761
SHSE.512690,2022-03-15 00:00:00+08:00,0.739
SHSE.512690,2022-03-14 00:00:00+08:00,0.78
SHSE.512690,2022-03-11 00:00:00+08:00,0.822
SHSE.512690,2022-03-10 00:00:00+08:00,0.825
SHSE.512690,2022-03-09 00:00:00+08:00,0.792
SHSE.512690,2022-03-08 00:00:00+08:00,0.795
SHSE.512690,2022-03-07 00:00:00+08:00,0.793
SHSE.512690,2022-03-04 00:00:00+08:00,0.83
SHSE.512690,2022-03-03 00:00:00+08:00,0.843
SHSE.512690,2022-03-02 00:00:00+08:00,0.87
SHSE.512690,2022-03-01 00:00:00+08:00,0.88
SHSE.512690,2022-02-28 00:00:00+08:00,0.854
SHSE.512690,2022-02-25 00:00:00+08:00,0.852
SHSE.512690,2022-02-24 00:00:00+08:00,0.843
