symbol,close,eob
SHSE.000001,99.98,1990-12-19 00:00:00+08:00
SHSE.000001,104.39,1990-12-20 00:00:00+08:00
SHSE.000001,109.13,1990-12-21 00:00:00+08:00
SHSE.000001,114.55,1990-12-24 00:00:00+08:00
SHSE.000001,120.25,1990-12-25 00:00:00+08:00
SHSE.000001,125.27,1990-12-26 00:00:00+08:00
SHSE.000001,125.28,1990-12-27 00:00:00+08:00
SHSE.000001,126.45,1990-12-28 00:00:00+08:00
SHSE.000001,127.61,1990-12-31 00:00:00+08:00
SHSE.000001,128.84,1991-01-02 00:00:00+08:00
SHSE.000001,130.14,1991-01-03 00:00:00+08:00
SHSE.000001,131.44,1991-01-04 00:00:00+08:00
SHSE.000001,132.06,1991-01-07 00:00:00+08:00
SHSE.000001,132.68,1991-01-08 00:00:00+08:00
SHSE.000001,133.34,1991-01-09 00:00:00+08:00
SHSE.000001,133.97,1991-01-10 00:00:00+08:00
SHSE.000001,134.6,1991-01-11 00:00:00+08:00
SHSE.000001,134.67,1991-01-14 00:00:00+08:00
SHSE.000001,134.74,1991-01-15 00:00:00+08:00
SHSE.000001,134.24,1991-01-16 00:00:00+08:00
SHSE.000001,134.25,1991-01-17 00:00:00+08:00
SHSE.000001,134.24,1991-01-18 00:00:00+08:00
SHSE.000001,134.24,1991-01-21 00:00:00+08:00
SHSE.000001,133.72,1991-01-22 00:00:00+08:00
SHSE.000001,133.17,1991-01-23 00:00:00+08:00
SHSE.000001,132.61,1991-01-24 00:00:00+08:00
SHSE.000001,132.05,1991-01-25 00:00:00+08:00
SHSE.000001,131.46,1991-01-28 00:00:00+08:00
SHSE.000001,130.95,1991-01-29 00:00:00+08:00
SHSE.000001,130.44,1991-01-30 00:00:00+08:00
SHSE.000001,129.97,1991-01-31 00:00:00+08:00
SHSE.000001,129.51,1991-02-01 00:00:00+08:00
SHSE.000001,129.05,1991-02-04 00:00:00+08:00
SHSE.000001,128.58,1991-02-05 00:00:00+08:00
SHSE.000001,129.14,1991-02-06 00:00:00+08:00
SHSE.000001,129.79,1991-02-07 00:00:00+08:00
SHSE.000001,130.38,1991-02-08 00:00:00+08:00
SHSE.000001,130.97,1991-02-11 00:00:00+08:00
SHSE.000001,131.35,1991-02-12 00:00:00+08:00
SHSE.000001,131.92,1991-02-13 00:00:00+08:00
SHSE.000001,132.53,1991-02-14 00:00:00+08:00
SHSE.000001,133.13,1991-02-19 00:00:00+08:00
SHSE.000001,133.67,1991-02-20 00:00:00+08:00
SHSE.000001,134.28,1991-02-21 00:00:00+08:00
