symbol,close,eob
SHSE.600519,102.9904,2014-02-26 00:00:00+08:00
SHSE.600519,105.1078,2014-02-27 00:00:00+08:00
SHSE.600519,108.7842,2014-02-28 00:00:00+08:00
SHSE.600519,112.3446,2014-03-03 00:00:00+08:00
SHSE.600519,111.2352,2014-03-04 00:00:00+08:00
SHSE.600519,115.905,2014-03-05 00:00:00+08:00
SHSE.600519,117.4713,2014-03-06 00:00:00+08:00
SHSE.600519,120.002,2014-03-07 00:00:00+08:00
SHSE.600519,113.8022,2014-03-10 00:00:00+08:00
SHSE.600519,117.6018,2014-03-11 00:00:00+08:00
SHSE.600519,114.9551,2014-03-12 00:00:00+08:00
SHSE.600519,119.5525,2014-03-13 00:00:00+08:00
SHSE.600519,118.8273,2014-03-14 00:00:00+08:00
SHSE.600519,120.7127,2014-03-17 00:00:00+08:00
SHSE.600519,124.2296,2014-03-18 00:00:00+08:00
SHSE.600519,126.4412,2014-03-19 00:00:00+08:00
SHSE.600519,122.6778,2014-03-20 00:00:00+08:00
SHSE.600519,124.2876,2014-03-21 00:00:00+08:00
SHSE.600519,124.2078,2014-03-24 00:00:00+08:00
SHSE.600519,120.9592,2014-03-25 00:00:00+08:00
SHSE.600519,114.9261,2014-03-26 00:00:00+08:00
SHSE.600519,114.3243,2014-03-27 00:00:00+08:00
SHSE.600519,110.6841,2014-03-28 00:00:00+08:00
SHSE.600519,112.1779,2014-03-31 00:00:00+08:00
SHSE.600519,117.8266,2014-04-01 00:00:00+08:00
SHSE.600519,120.1108,2014-04-02 00:00:00+08:00
SHSE.600519,119.8715,2014-04-03 00:00:00+08:00
SHSE.600519,118.9651,2014-04-04 00:00:00+08:00
SHSE.600519,119.3132,2014-04-08 00:00:00+08:00
SHSE.600519,118.4503,2014-04-09 00:00:00+08:00
SHSE.600519,122.9171,2014-04-10 00:00:00+08:00
SHSE.600519,127.6812,2014-04-11 00:00:00+08:00
SHSE.600519,126.434,2014-04-14 00:00:00+08:00
SHSE.600519,126.5282,2014-04-15 00:00:00+08:00
SHSE.600519,124.012,2014-04-16 00:00:00+08:00
SHSE.600519,127.0431,2014-04-17 00:00:00+08:00
SHSE.600519,127.1228,2014-04-18 00:00:00+08:00
SHSE.600519,124.7589,2014-04-21 00:00:00+08:00
SHSE.600519,124.8169,2014-04-22 00:00:00+08:00
SHSE.600519,127.6667,2014-04-23 00:00:00+08:00
SHSE.600519,127.4491,2014-04-24 00:00:00+08:00
SHSE.600519,119.4219,2014-04-25 00:00:00+08:00
SHSE.600519,118.0442,2014-04-28 00:00:00+08:00
SHSE.600519,118.6243,2014-04-29 00:00:00+08:00
SHSE.600519,118.8346,2014-04-30 00:00:00+08:00
SHSE.600519,116.2023,2014-05-05 00:00:00+08:00
SHSE.600519,116.5939,2014-05-06 00:00:00+08:00
SHSE.600519,116.4996,2014-05-07 00:00:00+08:00
SHSE.600519,116.5069,2014-05-08 00:00:00+08:00
SHSE.600519,116.4706,2014-05-09 00:00:00+08:00
SHSE.600519,116.6809,2014-05-12 00:00:00+08:00
SHSE.600519,116.5577,2014-05-13 00:00:00+08:00
SHSE.600519,112.5912,2014-05-14 00:00:00+08:00
SHSE.600519,113.2293,2014-05-15 00:00:00+08:00
SHSE.600519,112.5114,2014-05-16 00:00:00+08:00
SHSE.600519,107.305,2014-05-19 00:00:00+08:00
SHSE.600519,105.1296,2014-05-20 00:00:00+08:00
SHSE.600519,109.4949,2014-05-21 00:00:00+08:00
SHSE.600519,108.806,2014-05-22 00:00:00+08:00
SHSE.600519,110.4375,2014-05-23 00:00:00+08:00
SHSE.600519,111.3585,2014-05-26 00:00:00+08:00
SHSE.600519,111.0902,2014-05-27 00:00:00+08:00
